Contents,Label
que lindos recuerditos al mirar nuestras fotos de un 3 de enero 2016 conviviendo ella con mi familia. hoy hace un año.,0
"—ma, ya no quiero ir a la escuela. —¡tienes que ir! —ah, chinga y por qué. —pues tú eres el maestro, cabrón. —asicierto.",0
@lleonardpler ¡ya ves! eso es fundamental ,0
como cuando no te puedes registrar en el #vanscustomculture porque vives en méxico,0
[@niievesgiil si hubiese una opción de ''kill'' seguro que era la más votada ],1
"pues yo llevo 2 meses haciendo #gazolinazo; no tengo dinero para reparar mi carro. y creo que ahora, después de esto, se irá al yonke.",0
"@tuiteroregio @bomborisimo jajajajajajajaj ya están peor que peña, puro atole con el dedo a los tuiteros",0
feliz día del periodista !! a mis conocidos amigos y gente que sigo y me sigue,1
"@paddockgpworld @miquelliso ¡permiso ninguno, por favor! la foto es de miquel, y yo encantado de poder verla en mi timeline ",0
mas cuando no tienes a alguien que te de esas palabras de aliento que necesitas para sentirte mejor,0
"se viene la goleada, ya pitale árbitro... o quiten a ochoa para que no se lo chinguen",0
"ya me da miedo dormir con alguien, hablo sola y que tal si digo cosas que no debo",0
tío pero el final es una mierda me ha dado muchísima pena de verdad pero bueno no hago spoiler pero pf ,0
"sad music y mucho trabajo, ya que es buena combinación",0
@szurita ya estuvo que el mexicano se quedó preso la lic @ruizmassieu ya no es la mera! mera ahora es videgaray,1
@reybultos sabes que eso no es así ,0
"@elgolfo esta es la segunda vez que los veo y sí, muy pichicatos con los hits, ny city boy de mis favoritas y nunca se las he escuchado",0
pa kuando la siguiente temporada de juego de tronos ,0
"@monzonete cuando me borré twitter, jeje, esta cuenta es nueva, aunque con el mismo nick ",0
"@soytanninabien jaja, estás aburrida!? mejor cuéntanos otro cuento",1
"amigues, estoy muy preocupada: la carretera sigue cerrada, no hay gasolina y los alimentos en mercados se están agotando",0
"@katikatkats no tengo fotos suyas, espero que sea real y que no exista solo en mi mente u.u",1
@eudemonologia87 yo igual y ni así. este año seré tipo marasalvatrucha para ver si así me traen algo.,1
"@kalvanigh pues yo no me crei esa expulsion, me parecio otro tongo como la de ares, los dos mayores robados de aquella temporada ",0
vale he visto la tia bebiendose su regla y me hs dado muchs grima ,1
pensar en irse pronto a la cama y ver que dan 2 capítulos de #minorityreport la mejor manera de alegrarse la noche ,0
"@carolinapadron: hola, te deseo un feliz año nuevo 2017 lleno de salud, abundancia y éxitos. te mando un fuerte abrazo",0
libros que enganchan desde la primera página y hacen que el tiempo vuele....! buenisismas noches ,0
"@ivancastello toca un tema maravilloso, porque sin dejar de ser ficción es algo que podría darse. un gran hermano vol.02 ",0
por poquito y se comen a mi perrito,1
"@weexmx un mes esperando mi chip 4g, no llego y me piden que de otra dirección con razón desconocida, voy al 7 eleven por un chip, no hay",0
"@papelitorojo @pedrojcases no me lo como, solo muerdo y estiro  y si llevo las cutículas bien, no lo hago, ahora están top ",0
"@manudeorleans pues yo no hay manera, y eso que tengo recuerdo lejano y de stats tengo una media de 69-70 ",0
@miriam_munuera calor?! calor?? hoy mehe muerto de frío ,0
a certain romance tiene una de mis frases favoritas!!!! gracias @rominapons por esa #rolota #viernesconromina,0
"me afeité hace dos días y no me puedo arrepentir más. ahora aprece que tengo 5 años, y no me toman en serio ",0
"@johanagonzalezd y mi pobre hija tragando, no es justo ",1
"lejos, lejos, muy lejos...manejar hasta acá esta padre! algo diferente q mal q ya no está la feria del caballo pq si no, me quedaba jaja!",0
@crususmusus_ me lo apunto en la lista de cosas posibles de hacer ,0
@angybir @brujulaondacero gracias! horarios un poco distintos pero ahí estamos ,0
"el juego de grumpycat es demasiado adictivo, no lo soporto",0
esta noche nuevo #directo de #battlefield3 en el canal. podreis proponerme armas con las que jugar para putearme  https://t.co/tyeghzkzy4,0
"lo siento mucho  bueno, os he dejado un vídeo de hype para el stream de mañana, que va a ser fuertesito",0
"@alastrain el primer tuit nos llego a nosotros, por eso te preguntamos tanto  que tengas un buen día y buena compra.",0
@carter1628 claro. tengo mazo de ideas para este último cuarto de año ,0
@sitgesfestival genial!! vendrá @rachelnichols1 ?? saludos y buen día! ,0
"me enoja que otros me tiren la onda, que me inviten a salir, que se porten buena onda y que el que me gusta ni un pinche hola.",1
buenos días bbs qué tal yo mal ,0
"@gacaela ya sé. no te vi en ésta, pero me contaron de la modelo se paseó desnuda como si nada, y pensé en tu primera vez toda nerviosa",1
quiero mogollón a @albabenito99 pero sobretodo por lo rápido que contesta a los wasaps ,1
@elenaarnaiz @pruebatmagazine muchas gracias!! feliz día ,0
"@fershymp es correcto, falta mucho para y por eso nunca estamos unidos como compatriotas",0
@priincesapurple si ya había regresado pero me volví a dormir moría de sueño,0
parti 3 roscas diferentes y en las 3 me salio el niño!! algo estoy haciendo mal,0
@celopanyt te hemos echado de menos en la fiesta fin de verano  te podrias haber ido con ro ,0
mi espalda esta bien chicos no os preocupeis p espero que el juicio sea lento y me libre de la carcel https://t.co/tbkc1vivoo,0
@alebaie_ iba a ponerle lo mismo,0
sabían que su after fav teatro g. fue construido para mi y un día de estos (hoy) les voy a dar el placer de que me vean ahí metido !!,1
"en fin, ya veis lo duro que es comer solo hojas, la mala pinta que tiene y lo mal que sabe ",0
@zoestrange es que nacho está haciendo una cadena graciosa ,0
el #noanoastyle es lo mejor que ha llegado a @luchalibreaaa @pagano656 enhorabuena #sinpayasonohayfiesta #arrepapá,0
@vodafone_es ha aceptado reembolsarme la cobertura marítima de la que no me advirtió en su momento. estoy contenta. me parece justo. ,0
@telediariomty @multimediostv kiero ke me regalen una rosca xfa para kompartir en familia no tengo cel para llamar y pedirla xeso escrib,0
"@aladroqe quizás es porque también hay pocas personas de esas profesiones involucradas en la poítica, y si mucho burócrata ",0
@mayezpalacios no mames! no son fieles ni a su propia raza!!! ya no sé que esperar lo malo es que tengo una coneja y es igual. complot,1
@erlik imposible  he tenido un par de horas libres solo. ¡ha sido una visita fugaz!,0
las mujeres ayudan en la casa.,1
"el temor de un hombre sabio, la saga millenium, canción de hielo y fuego, y un largo etc ",0
estoy muerto de hambre pero no puedo hacerme la cena todavía porque está mi compañero de piso cenando y no quiero cenar con él ,0
pues empecé mi día con el pie derecho... metido en un monte de tierra por las reparaciones de las calles,0
días!!! suelta las viejas creencias. cambia tu energía. cruza los límites imaginarios. usa tu corazón. libera tu niño interior... besitos,0
vale acabo de ver algo muy desagradable gracias cris y buenas noches ,0
"@sweetsuricata me pasaba igual xd, de todos modos el control de nioh no me gusta nada ",0
"si soy de área 4 y con suerte pase mate iv y mate v ¿por que me ponen al profe qlero que es mega difícil pasar con el, en mi último año?",0
"otra noche hasta las 4 de la mañana despierta, aburrida y sin sueño, lo veo venir... ",0
"@dafneca1 estaba pensando en preguntarte sí ibas a ir jaja :v,el jueves nos vemos allá me voy a sentir raro por que todos ya se llevan",0
"@omegaesp estaría a un paseo en tren de madrid, y tendría findes largos cada dos semanas... ",0
"me encanta estar así de feliz...ojalá y esto toda la vida!!! buenisimas noches  gracias, te amo @juanjoatleti",0
@ulpgc hola ¿me podrían seguir para hacer una consulta por mensaje directo? muchas gracias,0
en realidá é algo duro de asimilar ni el alcohol me ayuda ,0
@erchache2000 @sharker es que hablo de sus correos corporativos en sus pcs ,0
@pichyniboss te queda bien tio! espero que esteis todos pasando un buen verano ,0
@casanovasrichy  buenos dias y feliz domingo  abrazo♡,0
tal vez estoy pagando algún tipo de karma por no hacerle caso al carnicero de por mi trabajo… siempre me dice que me veo bonita,0
"@dafnedelray me siento very important jeje no en verdad no, esto es una mierda ",0
las niñas son muy exageradas.,1
"@hazzalovesme69 que raro, desde hace rato que tengo los dms desbloqueados ¿pasó algo?",0
@neuroticcritic dejas al novio y a los dos días ya estas con otro. y yo soltero desde el 96. la vida es demasiado injusta conmigo ,1
"@blasauryn si es que no puedo olvidar cuando te viii, imposible. que resumiendo, no te puedo olvidar  y no lo haré jamás chiqui",0
las niñas son más cariñosas que los chicos.,1
@noesunpagaro que te pasa necesitas ayuda? favea si te tienen secuestrada ,0
"@auronplay que casualidad que la primera llamada que le hacen al arruinado la coge,pero las otras no.no será que es el mismo. un abrazo ",0
ya me está jodiendo la tarde pep...bueno me.voy a dar un.paseo ,0
"@cigotenks me apiado de ti, yo me entero de que existen porque tú los encuentras. o sea, alguien los lee primero ",0
"mira que soy pesimista a maza, pero odio que la gente sea taaaan pesimista ",0
"@rosyarango dicen que cuidar a un recién nacido es trabajo en equipo, así que yo le cambio el pañal",1
"@sirarmindice voy a leer sobre ello por cierto, no estoy en contra de la propiedad privada, por errores me refería al invididualosmo..",0
"cuidando a mi enfermita, hoy no se trabaja dice ella y esta perfecto día de camita! yo malita tu malita chin me toco ser la enfermera!",1
[a ver sé que mido menos de 1'50 pero que no tengo 10 años o sea os lo digo en serio no tengo 10 años ],1
"más bonito no puede ser por cierto,me alegro mucho por la mención https://t.co/nam5mf5nz1",0
últimamente estoy  y no me gusta estar  debería estar  pero no puedo estar  porque estoy  y eso me hace estar más  sabéis ,0
nuevo trailer! #pokemongo en minecraft! espero que os gusten las pokecasas  os las imaginabais así por dentro? https://t.co/d2sh0op1ei,0
@juapochohh sorry not sorry  pd quedamos en medievales?,0
"@selenevirus un poquito. pero es normal porque es oscuro. anyways, sigue viéndosete un poquito pelirrojo. reflejos o algo así. ",0
"@walter_sobchak1 por cierto walter,genial lo d echarle las cenizas al donie ",0
@kurokatze_ yo nunca la he podido ver entera porque literalmente me duermo ,0
¿por qué dicen que ando en modo mamona? ¿qué no saben que soy la persona más aburrida para platicar? les have falta tratarme más,0
"@juanrallo ya, ya. el edificio a sí, el edificio b no. facilísimo de articular ",0
"penoso lo de hoy, pensando en que hacer en el futuro... gracias a toda la gente que ha estado en el stream ",0
"@attmxayuda @attmx olvidenlo, ya vi que si lo que quiero comprar cuesta $150,debo de tener más de esa cantidad en saldo, y no lo exacto",0
a todos los artistas de tumblr les llegan preguntas o cumplidos sobre su arte y a mi me preguntan si soy lesbiana ... fucking great.,1
@martincaligaris es mí martina jajaja regresaste a los saltos mortales!!! eso es bueno te quiero mucho! beso de regreso muack muack,0
"@carlacarrilloof: y todo lo mejor para ti y para tus seres queridos. recibe un cálido y fuerte abrazo desde san luis potosí, s.l.p. tqm",0
buenos dias mundo twittero me duermo súper tarde y despierto súper temprano eso no es normal,0
tio os quiero mil a los que me habéis hablado ,0
@danimonti77 que cabrito   y te quito años  @angelbergada23 perdónale porque no sabe lo que dice... o si ? abrazo a los dos ,0
@judithgoan porque por no cargarlo con un cable oficial me he cargado la bat y el nuevo que me llega mañana es de sony ,0
"@ximnart ya, aún así... no me fío de la gente ",0
"todas las putas gatas a las que les cago es porque un wey se fijo en mi y no en ellas, neta no es mi pedo, pinches feas",1
@ana_sofmt oye perame que si buzzfeed es pendejo entonces el amor de mi vida no es el amor de mi vida y eso sería triste,0
como la gente siga siendo aburrida les mandaré a la puta ,1
"@atlgarza gracias por tu rt, fui de las primeras 5 vistas, te amo garza",0
@estremaimona hija mía ...haces inteligente a la anormal de yolanda morin.... ,1
@vigarcu @saez_cristina @muyinteresante están comenzando a hacerse un poco visibles ahora. y ya van por su segundo modelo fairphone 2 ,0
@salvadorop no existió recalentado de año nuevo por qué ni cena hubo.,0
que horrible es querer dormir y que tu perrita no deje de roncar,0
me muero por ya comprar otro celular,0
"llegar y encontrar la mención de jesse y la foto, es tan hermosoooooo!!!! la amo!!!!! en verdad grite!!!",0
@evercufl ay que grosero eres conmigo,0
eres un pendejo pulido @puliidooo,0
@samanthasarahy muchas felicidades! pásala genial abrazo! 🥇,0
"@assenethsoto no es eso amor, es que yo no iba contigo pues por eso no está padre el avión... jajaja... te amo , ya regresate",0
pa kuando la siguiente temporada de orphan black ,0
que rica siestesita me aventé hasta pensé que ya era de mañana porque me levanto la alarma,0
voy a dejarme crecer las cejas a tope en plan naturales porque ,0
@karycruz24 @rashel09 @rosiles_meza @crisstyrc @analu31090 gracias mi querida kary,0
"es como si ya me hubiera ido a vivir sola,",0
@marianaequi ¡vientos! va sanando bien chido. ¡cuídate mucho esa manita!,0
@se_wilk @ciutadanscs @prensacs @mrhciudadanos @alfonsorojopd gran capacidad de análisis de @inesarrimadas en esa entrevista. #visión ,0
pensaba que iba a morir en la carretera volviendo de la playa pero he vuelto a sevilla sano y salvo  vaya tela,0
"@nenina74 @crislalider no estoy de acuerdo, las cicatrices siempre recuerdan dolor, sufrido o provocado ",0
al rato a preparar la cena de fin de año con mis hijos al rato a misa a darle gracias a dios por un 2016 lleno de ilusiones y sueños,0
@gloriatn -felicidades!!! -sales genial en tu icon -no te conozco casi nada- ,0
"@hugo_mcc ayy si quería, pero mi familia ya no tiene vacaciones y nos iremos antes pero volveré en enero yo sola y a ver que se hace",0
"@fantasylaliga hola no se actualiza clasificaciones y lo que es peor, el mercado está vacío desde hace tiempo ",0
pocas maneras mejores se me ocurren para empezar una semana... https://t.co/p5woxm5ffl,0
"@vivaaerobus hola, ¿se puede hacer web-checkin e imprimir el pase de abordar si viajo en viva light? la página dice que no...",0
"@senior_esfera qué va, son tranquilas, nunca logra refutarme nada ",0
es conveniente tener un gobierno democrático que cumpla su función politica. no lo es tener un gobierno que representa la #corrupciónpp,0
@quesadacid muchas gracias rodrigo por compartir con nosotros su paso por la feria del libro de benidorm. esperamos que le haya encantado ,0
@y2konya justo esta mañana no ha podido insultarlos porque estaba en comisaria ampliando la denuncia por acoso ,0
@mauhcorona #estiempode pensar las cosas buenas,0
ojalá justin subiendo una foto comiéndose la boca con sofía para que os den por culo a todas ,1
es triste quitar todas las cosas de navidad,0
"en serio, te amo @leodicaprio ",0
lo único que no me gusta de twitter es que no hay espacio suficiente para poner los créditos de las fotos y encima decir algo ,0
"@sabinohernandez #ideamillonaria, no creo que sea tan difícil. aunque seguro te piden la contraseña, y así no se stalkea a gusto",0
@antoniopv98 @celiaogalla28 mis amigos hablando jodes .... k bonita amistad ,0
"días!!! sí te caíste no importa; levántate,continua y haz a un lado la piedra con la que tropezaste, para no caer de nuevo... besitos",0
@liamverse se llama saber cual es la mejor forma de crear estructuras que aguanten ese peso ,1
"@edu_rnieves te la recomiendo, parece monótona pero hay capítulos que vuelven a subir el interés ",0
@ladygraphene a la próxima a ver si os veo ,0
el rosa es solo para las nenas.,1
"@reivajcorrado @_jesuismarc alguien sabrá, alguien en ese extraño lugar que es el futuro. esto es una empresa para la humanidad ",0
"@leonjorgedotcom my dear, has leído mi mail? #sinpresion ",1
@estuffaxd -qué labios -qué pelo -pienso que nos llevaríamos -bien,0
el bloqueo -en vez del mute- es en realidad una medida para reducir el ridículo para los que no saben que existe el screenshot ,0
"@danirs95 somos el pacma, a todos caemos bien pero nadie nos quiere. lloremos juntos ",0
"@jc_pblanco ya.. se le va, pero me gustó igual  lo siento, sino.. blme está bien adaptado o los libros de sparks ",0
@pammgonzaleez no mames ahora quedaré como pendejo porque no pude ir de nuevo,0
@bekiaes también es el cumpleaños de la preciosa actriz @luudelafuente !! ,0
"ahora todo es machismo, no se puede hacer ni un chiste",1
#yanohaydepastorjoven un golpe muy bajo,0
@xqwcrp @xoancarv un lapsus advertido gracias a @cascarelo y subsanado. gracias por tu aportación. ,0
me sorprende la homofobia y sus manifestaciones inesperadas... lo digo por mi,0
@todomegadrive esta vez me decanto por la japonesa. p. me encanta la batalla de caratulas ,0
"a como veo las cosas, no me va gustar el resultado final de este partido.. no hay manera si un equipo juega a ganar y el otro....",0
"buen dia! elige q cada uno de tus dias sea un milagro! que su dia este lleno de armonia, luz, amor y buenas vibras! yo elijo ser feliz!",0
a ver que asi a lo tonto me quedan solo 2 dias en galicia. ,0
"amigos, me llevo el premio a la ansiedad. parece que me bebí el reino del café ando mal",0
"@voicesyntex soy como ese medio demonio que es marginado por los demonios, pero también por los humanos ",0
"desperté casi a las 11:00 am. no me juzguen. tengo el nombre de la princesa que estuvo dormida toda la película, ¿que esperaban?",0
@puntoguionpunto ando bien porque nunca sentí nada. pero estaban bien ricos porque tenían chispitas.,0
como cuando tu mamá quiere que te hagas pruebas de embarazo jajaja no estoy embarazada solo malita,1
porque no soy una persona normal que le guste platicar con personas por whatsaap me conflictua esooo xq xq xq,0
@elpachinko ¡de nada! me gustó mucho ese paseo alternativo por otro gante ,0
@elspeaker la vida nos lleva por caminos inextricables jajaja me alegro de que te haya molado el programa de hoy ,0
estoy poniendo fotos a lo loco porque no tengo las mias pero no va tan mal... https://t.co/uk0yck18nu,0
"en 15 minutos, subiré un nuevo video a mi canal de youtube, es un pequeño regalo para que se lo empiecen a pasar de agasajo este viernes!",0
@ciberchenet porque nunca nos toca un arbitro bueno? hay alguno que sea bueno para el valencia? ,0
jamás me toca monito en la rosca. quisiera ser relevante,0
"@txispitabi no te había reconocido en este perfil  el placer es mutuo, guapa!",0
@soymarioruiz a mi se me acabaron desde la semana pasada,0
mis pequeños amores no me van a felicitar hoy es el #diadelperiodista ya 10 años dedicándome al periodismo y los que me faltan,0
@przuppo @lolap245 me quedo con lo primer un pensamiento en un clic ,0
@luisitorey #luisitoreymago pon dinámicas más difíciles en esta dinámica no se ven todos los comentarios,0
"@mayra_zepeda @nayaroldan y se ven bien ricos gracias, may.",0
"de las princesas ana&mía a mórbida mal pedo, qué tan gorda soy si me encontré boronitas en mi papada?",0
"hoy amaneció nublado y con frío! el día está para no salir, ver pelis y comer pizza! bonito viernes y buen fin de semana para todos!",0
sara piensa q vivo rayada xq me duermo escuchando a beret y weno ,0
se ha ido de mi espalda y no se como ha acabado dejandome en una esquinita de mi propia cama ,0
"@mavi_vieira perfecto!  nada mejor que incitar a lectura. ya me contarás que tal, es mágico. de esos para niños que no son para niños",0
@aramalikian lo hemos pasado en grande con las 4 estaciones. una auténtica gozada para toda la familia ,0
"@ivonnemelgar tristemente cierto: otra historia lamentable de política femenina fallida, muy buen articulo! abrazo",1
"@charliereckless llévame a tu casa, la otra vez blastoise y hoy dragonite ",0
sensacionalismo barato. como echo de menos milenio 3 ,0
@saez_cristina @muyinteresante @fairphone genial ! está genial que la gente conozca un poco más estas alternativas ,0
ya cayó la segunda parte del pavo cachetón,0
"@manuellflorod bienvenida (triste) realidad, andamos en las mismas, pero no hay de otra",0
@ananda____ ahora entiendo xq me llaman enfermo mental ,0
lo pendejo se mide en comparación del número de veces que te encabronas por un twiit que ni siquiera era dirigido a ti,0
@miamanta buenos días sam ya aquí estamos después de estar un poco enfermo pero ya vamos mejorando saludos y feliz año y bendiciones,0
"@mrous_ @carolgvivas la belleza de tigres presente en todas partes saludos, chicas!",1
@bunnlock joe  a mí me duran mazo pero sí que pensé en pillarme un primer para otros que no me vayan tan bien ,0
"@garbimuguruza yo cuando pueda quiero tener el omega constellation,, con los numéricos romanos. ",0
@radicaiizate @pvaya pero... ella... no es verde!!!! aunque ahora que lo dices... es muy... eh... ,0
@futaztecadep saludos al profe david y al @martinolimx! feliz 2017 maestros de la narración.. carajo!!!! diría el dr. garcia,0
@albertovill descubri que soy celosa,0
"@mariobautista_ soy mala bautister, no puse el 11:14",0
nadie sabía que los peluche no son peluche son pérez luche,0
y en nada estará disponible vía #soundcloud mi nueva sesión con el mejor house y un rollazo flipante ,0
uju!!! a estas tempranas horas de la noche ya sólo me falta leer como 70 mensajes de whats que chido que me gusta leer verdad!! (n.n)!,0
me acaba de seguir una página para ligar por gustos musicales. sé que estoy sola pero ,1
@vacasueca también que no parezca pulsera de reo eran deberes pendientes  pero qué menos que 7-10 días ,0
dio tener un perro es la ilusión de mi puta vida ,0
alba carrillo como buena modelo haciendo gala de su profesión en la entrevista a willy toledo  #hableconellas,1
@pabloalboran eyyy regresa yaa!!! tu @famalboranmex te espera,0
"rivera y rajoy no han pactado que nivea vuelva a lanzar pelotas de playa desde una avioneta, como cuando era pequeño. nos vemos el 25d ",0
"@angeladelriom hola preciosa. a pesar del frío, mis ganas de verte todos los días es mas grande, ya que me alegras con tu bella sonrisa.",0
@noseashetero 10/10 lindo a ver si vuelves a león que se te echa de menos por aquí  quiero abrazarte ✨,0
jajajajaja ay que triste me siento,0
me quede vestida y alborotada.,0
"@angryesmeralda snif el curso empezaba hoy y yo tengo un rol con jane. he puesto que yu se ha sentado a su lado, ¿te importa?",0
las niñas sondelicadas.,1
@ignatiareilly una oleada de cosas homófobas días anteriores ,1
acabo de hablar con alba y ya esroy un poquito mejor ,0
@lizpedroza hermosa estos días tengo un arañas alacranes ratas y murciélagos en mi carta jajajaja es impresionante la química del cerebro,1
ah no verdad? jajaj nadie entendió mi chiste que imbécil soy hahaha,0
"@formalito_soy @janijoplin se nos pone sentimental  pañuelos, por favor!",0
@lahoraalt @asidesastre @molo_cebrian @criadoenterado me faltó @p8ladas y eso que estoy deseando escuchar sus viñetas musicales y lo sabe ,0
"días!! el secreto de la buena salud es vivir el ahora. no eres dueño del pasado, no sueñes con el futuro. solo el presente te pertenece..",0
"#convocatoriaunam alguien que sea tan amable de mandar el link para registrarse x favor, no lo encuentro",0
@funinfvneral qué burrada pusieron hoy?? que llevo meses bloqueada por otra heterada y me lo perdí ,1
@ifabilalala deja de burlarte de mí no :; pero si me fue bien y aprendì mucho ademàs tengo salud y màs cosas maravillosas jajaja,0
@jimmy_jammes vi que empezaste el año con empleo nuevo. un gran abrazo. un súper gusto conocerte. éxito.,0
"@jclilgangster yo tengo que aguantar 4 niños pequeños, no sé que es peor ",1
"@_alineepa exacto, no va a pasar!! pero cada quien puede y debe hacer su parte",0
@adriantr09 @clubtiburones @pumasmx ya rugiste león ya estufas,0
según uno de mis propósitos es leer más pero ya estamos a 8 de enero y no he comprado ni un libro nuevo,0
extraño a super junior m #teamsuperjunior #soompiawards,0
nota mental: no le quieras ayudar a alguien que no confía en ti. -la primer enseñanza de este año-,0
"pablo continúa su hilo, imprescindible. luego haremos crowfunding entre todos para hacerle un medium  https://t.co/pgjqvxky6r",0
"que triste, es el primer dibujo que quiero que vea, que de verdad me gustó, en el cual me esforcé más que en otros, y no creo que lo vea",0
@rubialvc @mirthayudithof @gizbetan eso fue único jejeje,0
"mi última partida jugada, con sona support. la grandes razones para jugar sona https://t.co/2rgmmeafis",0
sabes que ya estás viejo cuando tus primos quieren ver pelis toda la noche y tu solo quieres dormir ya,0
ese triste momento en el que te das cuenta que se te acabaron las vacaciones y que ya casi es hora de volver a la realidad...,0
"ayer un canadiense me preguntó que a que hora abrían el local de arriba, le dije que a las 10, eran las 10:10 y él dijo oh, mexican 10",0
lo mejor es que son conversaciones normales y corrientes sin ningún ánimo de ligar pero  simplemente porque no se ligar ,0
"nunca he tenido esta sensacion, ¿me la harías sentir? es muy importante para mí blas @blasauryn  #followspree",1
¿y cuándo es el día del hombre?,0
esas son cosas de niñas/ esas son cosas de varones.,1
"@she_ra_h @darinasilver ya me habían hecho pixie y me quedan chidos, pero tengo mucho pelo y quise recortarlo más. mi error",0
@soyalannavarro me pregunto: ¿habrás leído mi tweet y te sorprendiste por que ese es mi máximo nivel creativo? me temo que sí.,0
en fin @kenneos espero que recibas este tuit en otra realidad alternativa donde sigues viva porque ahí no se acaba tu camino  ¡suerte!,1
madurar es mas divertido contigo,0
"@jose97angel el canal de global talents suele ser rápido en subir actuaciones, valoraciones, previos, y resultados...   ",0
"hoy entre a sephora y los productos de benefit están bien caros, casi salgo llorando de ahí.",0
"@iazek4629 lo se  pero no miraba la acc, solo miraba de vez en cuando el combo y me emocionada y nervios y shit",0
@chaendlerbean agradecidos. nos miras con buenos ojos  @ivanlibreros95,0
"no ire a la facu porque esta muy feo el clima no hay taxis, uber, mi mama no me quiere llevar, no me quiero mojar, pues me duermo",0
"mañana me veré las que faltan, pero la mejor de la noche no ha sido britney vaya  me ha decepcionado",0
@luisfbonilla @isabelsevilla9 @adirecto @peichsantana ole los buenos almerienses!!!! mil besitos!!!! ,0
"@crisasanz gracias, guapa!! menuda promoción me haces!! eres un sol ",0
"@rarrochar bien dicho roberto,  las cosas por su nombre,  porque nadie dice cola cado ",0
intentar rescatar un gato que alguien irresponsable abandonó y que antes de que lo consigas se lo coma el pitbull de tu vecino. #jodid@ ,0
"@mibicipublica hola! la estación gdl - 111 tiene 2 puertos que no sirven, y los demás siempre están llenos a esta hora.",0
@carlosmchef3 felicidades pareja!!! peazo abuelo va a tener tu hijo....estará pletorico ,0
"@kraulot si trabajas de autónomo vale, pero precios para conseguir los 20 gb, yoigo es lo más barato y yo sin eso muero en asturias ",0
@eli_rivas10 @madonna @pedrosola @chabelooficial @laurazapatam jajajajajaja ay te extraño,0
@marcenuela son los leggins esos que son como de lycra?  quiero unos pero sólo los encuentro de talla única y mis muslos son gordis.,0
@bearjhony te portaste mal... que bueno ve por tus propios regalos y a tu gusto,0
"@wilma_lorenzo no dobles las esquinas! pon post-its!, se queda más cuqui  https://t.co/dfkqaseana",0
yo quería que callie y wyatt siguiesen juntos ,0
